,x,y,low,upper,weight
0,9.188545702631496,4.5663188825067,0,25,10
1,11.219760650637522,10.15205672515425,125,150,20
2,13.254242809559583,15.31642647476484,50,125,20
3,-11.56091988160374,11.547001054558203,250,300,5
4,15.2047606138564,-17.29785743553432,0,25,10
5,13.99502358198697,17.56647693402345,50,75,5
6,11.63682681539835,-16.69026583934508,50,75,5
7,-6.472573119774928,11.559142124117422,0,25,10
8,14.167143543847928,-4.290342248389326,0,25,20
9,8.167924201112932,16.26035826246381,250,300,5
10,-3.280586230880303,-19.62061563078545,250,300,10
11,-1.40423242137296,-17.436105533239257,0,50,5
12,10.138027158144672,5.175545062404382,25,75,10
13,-4.751559444681131,-19.20392532367922,25,50,10
14,4.284655929741771,12.761642730783857,25,50,20
15,-0.1566985621406011,15.898615651783372,125,150,5
16,-12.225990975769228,-3.602419409199268,25,75,20
17,-6.633488608798309,-2.073592529966529,50,125,10
18,5.505000802036669,0.4972576959171988,0,50,10
19,-4.314498426045329,9.266486712232425,25,75,10
20,-15.856425458707196,12.360474332603616,125,300,10
21,-8.05877825435613,19.98444255908912,125,300,10
22,-14.286558580958983,-18.5145841070042,0,25,5
23,-9.123572769338733,12.704529535112163,50,125,20
24,19.450977332198825,12.867942846862604,0,25,5
25,10.2562457755103,8.42970595632228,125,150,10
26,12.080523639753814,-9.306050248717275,250,300,20
27,-5.462711365271131,14.707875101421015,0,50,20
28,-13.33363631334553,18.83104386846577,125,300,20
29,-0.0584642008094427,7.55056157194009,250,300,10
30,-9.80240831344152,-5.474212445346547,250,300,20
31,-7.908737019577581,-11.489717722002712,0,25,5
32,0.0621532744882671,1.7127558846055102,0,25,5
33,11.3612578480098,8.322854349949623,125,150,20
34,9.56629248597153,-19.658337086673857,125,150,10
35,-8.895442927083641,18.52090149873218,0,25,5
36,-17.34433966616466,18.128805357326726,250,300,5
37,3.907985946460556,-17.57520274912855,0,25,10
38,17.99433017004442,-18.86093154559309,125,300,10
39,1.03372050487107,6.917296746195305,50,125,10
40,-7.442022910085196,9.604751426923473,50,125,10
41,0.2031405181173013,-13.591880335890597,0,50,20
42,4.8974650759772445,15.387459393691516,250,300,20
43,6.879215028632721,-19.60528876946533,50,75,20
44,-11.77090473548024,7.48930991676756,50,125,5
45,4.203675983628742,-3.974542121532842,50,125,5
46,-6.492234709428622,2.0197102669788976,0,25,20
47,-3.254776267220759,17.071583620185265,25,50,20
48,12.639286239822283,3.023941375496697,0,25,5
49,-16.78497917095676,10.713996253484993,250,300,5
