nan nan nan
40.0 60.0 1500.0 40.0
1.109600290931386 -0.6773978086637018 50.0 100.0 20.0
2.4440911882549186 -1.0200210549876858 250.0 250.0 20.0
1.242172621027715 0.1018920986462168 25.0 50.0 10.0
-2.3020237869186246 1.6551646718453163 100.0 100.0 10.0
-1.4995247882738787 -0.9160089240472562 100.0 100.0 20.0
-1.912659730866035 0.5236062200546341 50.0 100.0 10.0
-0.4363780524327425 -0.2237078133038754 500.0 500.0 20.0
1.9657098379183529 -0.5498552261283889 50.0 50.0 20.0
0.3801209188116035 2.216682970202214 0.0 25.0 10.0
-1.46298049385253 2.2303020387968164 0.0 25.0 20.0
-0.1100244009558659 2.370733634701004 0.0 25.0 5.0
-2.133683260193128 1.1190893374654287 50.0 50.0 20.0
