2.0 2.0 60.0
40.0 60.0 1500.0 40.0
1.1593179509877278 0.2254622873216423 100.0 200.0 10.0
1.9771952546749 0.5211527089160595 0.0 25.0 5.0
-1.504707251161677 2.414597799246838 25.0 50.0 10.0
0.860239123321827 -1.546084033651386 500.0 500.0 20.0
0.2523522346266338 -0.9542938673342968 50.0 100.0 5.0
2.242353787153636 -0.9635825085684736 500.0 500.0 20.0
0.2521154352108774 1.5378339427780867 25.0 25.0 20.0
1.0116783125768611 1.82275424191321 500.0 500.0 10.0
1.2924852126646489 2.3249553209709357 250.0 250.0 20.0
-2.259293401058249 -0.608215785581292 500.0 500.0 20.0
-0.6652591607979186 -1.541766102277145 50.0 100.0 20.0
-0.1525900431548521 1.7381137328319411 250.0 500.0 10.0
0.7060728824052127 1.360932956470125 50.0 100.0 5.0
-2.1871830120003373 1.1223763442860242 0.0 25.0 5.0
-0.787908997388751 1.6617558948801685 100.0 200.0 20.0
-1.025418286883798 1.931581011907987 500.0 500.0 20.0
1.3038359534961352 -0.7176011329357364 100.0 200.0 5.0
-2.333927298987324 1.3503129000261538 0.0 25.0 20.0
-1.3061725319536932 0.2050950001961609 25.0 50.0 5.0
1.7205129905559566 -2.106432616034156 25.0 25.0 20.0
