nan nan nan
40.0 60.0 1500.0 40.0
2.273845313896193 -4.776877216975619 250.0 500.0 10.0
-0.9402978495158854 -2.508301548484374 50.0 100.0 10.0
0.9967836048941968 2.7456768781542387 250.0 250.0 10.0
-4.551830700295154 -1.4694214575828246 50.0 100.0 20.0
-1.7942837134760992 3.8916689629407255 250.0 250.0 20.0
-3.4026920545712223 -2.929697728956687 25.0 50.0 10.0
3.847930386802428 4.641846556172668 25.0 25.0 10.0
3.603565230706499 4.571085677916836 250.0 250.0 20.0
0.4116692892297555 3.561376995285574 0.0 25.0 10.0
-3.350737345562528 -2.7132623747780515 0.0 25.0 5.0
-1.1005769730077877 0.6214225308958534 0.0 25.0 20.0
-2.90075949131172 3.81944878748223 0.0 25.0 10.0
-2.082935346754171 -0.2530916484300869 0.0 25.0 10.0
-0.2358739560158529 -3.2671931481164096 25.0 50.0 10.0
0.6053945198376365 1.3795510382841858 250.0 250.0 10.0
1.3067923544589242 -4.237896565332068 250.0 250.0 5.0
-3.359348050109822 3.845209173832057 25.0 25.0 10.0
3.26856711438621 2.660992892858024 50.0 50.0 5.0
-0.969438573480426 4.814615634512503 250.0 500.0 5.0
0.6917539111458506 0.223565632012912 500.0 500.0 10.0
-2.067527589416644 -3.3534420167777865 250.0 500.0 20.0
-0.1849679138231783 0.5208991440124002 0.0 25.0 20.0
-3.779843294021235 1.9025667148033865 0.0 25.0 10.0
0.8182926880701498 -0.1088502519010639 250.0 250.0 10.0
4.025825242102549 -2.177824983945804 500.0 500.0 20.0
4.093476374847061 0.7222471515883919 500.0 500.0 10.0
1.98392722341748 1.047812547968899 25.0 25.0 10.0
1.0179743713488725 2.566251748739978 250.0 250.0 5.0
-4.596705664699528 -3.611605397065377 0.0 25.0 20.0
2.7071566051502973 -2.375557637867731 500.0 500.0 5.0
4.094191838530465 -4.089327800810173 25.0 25.0 5.0
2.722586264277548 -1.8578078156328104 50.0 100.0 5.0
-4.923160534891663 -2.852599483536218 500.0 500.0 5.0
2.212487656857692 -4.247301983254284 50.0 50.0 20.0
-2.102035977727149 1.7113930977472034 25.0 50.0 20.0
-1.53897465061804 -4.691376084501556 250.0 250.0 10.0
4.781948331038409 -1.8954777241485956 25.0 50.0 5.0
0.322960793157204 -1.7592764773491163 0.0 25.0 5.0
0.3431353513805764 -4.989272189217683 50.0 100.0 10.0
-3.479752827656956 2.9825009255079395 500.0 500.0 10.0
-1.914146762017736 3.8620966552782896 25.0 50.0 20.0
-4.722875414670452 2.4999749923896992 100.0 200.0 20.0
3.418722339334874 1.96707695212514 500.0 500.0 20.0
-3.729720950432193 1.465609487294575 250.0 250.0 10.0
-4.590192872607501 -0.0101116389665065 100.0 100.0 20.0
-1.6293718878394703 -1.88453167681353 100.0 200.0 20.0
2.009175188160546 0.070191148139612 500.0 500.0 20.0
-0.8467062003898391 -1.6713363044941367 250.0 500.0 5.0
-4.03457470815857 3.372075912397369 500.0 500.0 10.0
4.652327551676818 1.9681544439447247 100.0 100.0 5.0
