2.0 2.0 60.0
40.0 60.0 1500.0 40.0
4.565606982233382 -3.46263389611761 50.0 50.0 5.0
4.077279763723794 0.4036397491624939 100.0 200.0 10.0
8.391088145715308 6.324761363653543 50.0 100.0 10.0
1.4052622377898611 0.4120585005510158 25.0 25.0 20.0
5.331027786534904 1.463235485256302 500.0 500.0 5.0
-7.650424078777112 -9.458382432790122 0.0 25.0 5.0
2.3583810862618755 8.657221286470868 250.0 500.0 10.0
-1.4249528019941788 4.771940358988216 0.0 25.0 20.0
1.6926588540853942 3.558167270419734 500.0 500.0 5.0
-7.168614294932709 -4.827792487714559 250.0 250.0 5.0
5.706869335735272 7.76086304840236 100.0 100.0 5.0
-0.7632871014133435 7.501608867423183 50.0 100.0 20.0
-6.767838189277857 0.6837996680833154 100.0 200.0 20.0
1.8728552607743647 7.67039197883792 250.0 500.0 20.0
-7.661695966170782 -0.4633137420504578 50.0 100.0 20.0
9.270533197231885 -5.2353697546095646 0.0 25.0 20.0
-0.3318883557973855 5.578253712178059 50.0 100.0 5.0
7.362565424618786 1.3378391870123387 0.0 25.0 5.0
1.4039605548915883 -0.1325386865998403 100.0 200.0 10.0
-1.5167835285358071 6.672559037602625 100.0 100.0 20.0
