2.0 2.0 40.0
40.0 60.0 1500.0 40.0
2.3249066260298035 -1.4171831328068176 50.0 50.0 10.0
-1.9603531084880756 3.939390473582698 100.0 100.0 20.0
2.2297179593615173 -4.879111664429745 0.0 25.0 20.0
1.3986015945825194 3.0806474878027057 50.0 50.0 20.0
1.6265628982818816 0.8793764111126041 250.0 250.0 20.0
-4.811056295855573 -4.18681047324497 500.0 500.0 20.0
-4.363887124456417 1.8564028657094007 250.0 500.0 5.0
1.00212746806005 -4.88407214155207 500.0 500.0 20.0
1.889232477094872 3.4023052749877145 0.0 25.0 20.0
2.3179142471438565 -4.006875428529656 25.0 50.0 5.0
