,x,y,low,upper,weight
0,2.2639913189536465,3.873006323303113,0,25,5
1,-0.2171294136360906,1.5105648563411205,125,225,5
2,-1.5218528651621224,2.2873027686202594,0,25,10
3,1.6682613731015596,1.687582733970686,0,25,20
4,-0.7000612448067791,2.3677256033077807,125,225,5
5,4.062080167146425,2.0497451519290086,25,50,5
6,-4.216455770257771,-2.0135942972242447,25,100,20
7,2.351211070283929,-2.0252874973355817,50,225,20
8,2.933542973722747,-4.478100412939274,50,225,5
9,-4.093810444259029,-4.0425651187909,0,25,10
10,-0.4499900014881692,1.036512682963478,25,50,5
11,-1.671786966372628,1.8949573531125103,125,225,20
12,1.3481468951283526,4.0924175122347375,0,25,20
13,2.4745943287431293,3.920178666484235,0,25,10
14,3.485261302855289,2.1518796044140918,125,225,10
15,2.6454708647001377,-0.0201294370632449,0,25,5
16,1.1279075265451637,2.006899648843582,0,25,10
17,-1.1854202966490313,2.8522738201682865,50,225,20
18,-0.8079991455864945,-2.816410770684541,0,25,10
19,0.286913990188208,-2.2004196583554894,125,225,20
20,4.888717420319972,2.766590071485832,125,225,5
21,-1.3339297158453176,0.5506172026019307,125,225,20
22,-0.7910062730361336,1.588849005613092,0,25,10
23,2.514102248022269,-4.190958255685697,50,125,10
24,-4.02056359260497,-1.7679371784161733,0,25,10
25,-1.4133097477145815,-1.017636448660979,0,50,10
26,-0.3775435842273484,-0.2168961968252647,0,25,10
27,-2.973557407755484,-3.67289781983249,25,100,5
28,-4.746561849732868,4.791739596972636,125,225,5
29,0.3971373496845594,1.2053969955371464,125,225,20
30,-2.7522414813985465,4.374959767523034,50,125,5
31,-1.0582800717279706,-3.351621644642212,25,50,10
32,4.9104666726445885,1.913220682472529,0,25,5
33,-3.053131353163303,-3.0783855111463385,25,100,10
34,-3.618562887126592,0.2839218988394396,0,25,5
35,-2.403061274204531,3.2879463636117574,50,125,20
36,4.408808751760784,-1.922572741200176,50,125,20
37,-3.7999004904233855,1.6630222784342583,125,225,10
38,0.1235231584469893,-1.259057996521876,0,25,20
39,4.169477420969843,2.3588447012035463,0,50,10
40,3.447774350234665,-0.9044420044574526,0,25,5
41,-1.357885799651647,4.610643994383796,125,225,20
42,1.2701807455612402,-3.828217990121124,125,225,20
43,-4.881442976492338,1.0823881946063985,0,25,20
44,-2.979505599296072,3.808856277416407,0,25,5
45,3.005889529526673,0.0462429674225752,0,25,5
46,-2.223341333588217,2.9631872099551675,0,25,10
47,-3.552980467168061,-4.568703955428942,0,25,20
48,-2.462973071971625,2.171191267550729,25,100,20
49,-4.680968964739733,-2.563145323091259,50,125,20
50,-2.209445019090126,-2.888126327211692,0,25,10
51,3.783420708143172,-1.0943680250258958,125,225,10
52,-0.9822211148617788,0.7144504981244015,0,25,20
53,-3.728978531680687,-4.847866572953868,0,25,5
54,-0.7446071370090381,-2.243672628063897,0,25,20
55,3.284435329755196,-2.558444035104351,0,25,20
56,-1.6427624814545272,0.3967461490201431,0,25,20
57,1.900781358429937,2.8145115376440524,125,225,5
58,-0.9154890687775908,3.5914156969082693,0,25,10
59,-1.6424261658872186,-4.547110126393652,125,225,10
60,-1.3419827015113484,1.833432555805567,0,25,10
61,2.604543524740758,-2.717830217169745,25,100,20
62,-3.0947364811437925,1.1658121683724731,0,25,5
63,-2.79578751684062,-1.994505500227849,0,25,20
64,-0.3647831742245842,2.910936660674529,0,50,5
