,x,y,low,upper,weight
0,1.1593179509877278,0.2254622873216423,25,100,10
1,1.9771952546749,0.5211527089160595,0,25,5
2,-1.504707251161677,2.414597799246838,0,25,10
3,0.860239123321827,-1.546084033651386,200,250,20
4,0.2523522346266338,-0.9542938673342968,0,50,5
5,2.242353787153636,-0.9635825085684736,200,250,20
6,0.2521154352108774,1.5378339427780867,0,25,20
7,1.0116783125768611,1.82275424191321,200,250,10
8,1.2924852126646489,2.3249553209709357,100,125,20
9,-2.259293401058249,-0.608215785581292,200,250,20
10,-0.6652591607979186,-1.541766102277145,0,50,20
11,-0.1525900431548521,1.7381137328319411,100,250,10
12,0.7060728824052127,1.360932956470125,0,50,5
13,-2.1871830120003373,1.1223763442860242,0,25,5
14,-0.787908997388751,1.6617558948801685,25,100,20
15,-1.025418286883798,1.931581011907987,200,250,20
16,1.3038359534961352,-0.7176011329357364,25,100,5
17,-2.333927298987324,1.3503129000261538,0,25,20
18,-1.3061725319536932,0.2050950001961609,0,25,5
19,1.7205129905559566,-2.106432616034156,0,25,20
